new_158050_158514_c::AL009126.3:158049-158514(-)	CP006881.1	100.000	465	0	0	1	465	158511	158047	0.0	859
new_159149_159778_c::AL009126.3:159148-159778(-)	CP006881.1	100.000	630	0	0	1	630	159775	159146	0.0	1164
new_201802_202546_c::AL009126.3:201801-202546(-)	CP006881.1	100.000	745	0	0	1	745	202551	201807	0.0	1376
new_335729_336091_c::AL009126.3:335728-336091(-)	CP006881.1	100.000	363	0	0	1	363	336096	335734	0.0	671
new_353869_356316::AL009126.3:353868-356316(+)	CP006881.1	100.000	2448	0	0	1	2448	353862	356309	0.0	4521
new_549652_549910::AL009126.3:549651-549910(+)	CP006881.1	100.000	38	0	0	222	259	512905	512942	3.32e-13	71.3
new_559362_560150_c::AL009126.3:559361-560150(-)	CP006881.1	100.000	789	0	0	1	789	523183	522395	0.0	1458
new_604577_605269::AL009126.3:604576-605269(+)	CP006881.1	100.000	693	0	0	1	693	567610	568302	0.0	1280
new_746000_747189::AL009126.3:745999-747189(+)	CP006881.1	100.000	1190	0	0	1	1190	709034	710223	0.0	2198
new_821232_822902_c::AL009126.3:821231-822902(-)	CP006881.1	100.000	1671	0	0	1	1671	785936	784266	0.0	3086
new_846186_849552::AL009126.3:846185-849552(+)	CP006881.1	100.000	3367	0	0	1	3367	809220	812586	0.0	6218
new_1011751_1013617::AL009126.3:1011750-1013617(+)	CP006881.1	100.000	1867	0	0	1	1867	974785	976651	0.0	3448
new_1074573_1076008::AL009126.3:1074572-1076008(+)	CP006881.1	100.000	1436	0	0	1	1436	1037607	1039042	0.0	2652
new_1319640_1320569_c::AL009126.3:1319639-1320569(-)	CP006881.1	100.000	930	0	0	1	930	1283606	1282677	0.0	1718
new_1461473_1462812_c::AL009126.3:1461472-1462812(-)	CP006881.1	100.000	1340	0	0	1	1340	1425850	1424511	0.0	2475
new_1915794_1916005_c::AL009126.3:1915793-1916005(-)	CP006881.1	100.000	212	0	0	1	212	1879043	1878832	5.00e-110	392
new_2041030_2041466::AL009126.3:2041029-2041466(+)	CP006881.1	99.771	437	1	0	1	437	1993285	1993721	0.0	802
new_2044833_2045843::AL009126.3:2044832-2045843(+)	CP006881.1	100.000	1011	0	0	1	1011	1997088	1998098	0.0	1868
new_2049454_2050111::AL009126.3:2049453-2050111(+)	CP006881.1	100.000	658	0	0	1	658	2001709	2002366	0.0	1216
new_2138041_2139052::AL009126.3:2138040-2139052(+)	CP006881.1	100.000	1012	0	0	1	1012	2090296	2091307	0.0	1869
new_2295944_2297045::AL009126.3:2295943-2297045(+)	CP006881.1	100.000	1102	0	0	1	1102	2113797	2114898	0.0	2036
new_2337997_2338147::AL009126.3:2337996-2338147(+)	CP006881.1	100.000	151	0	0	1	151	2155850	2156000	2.79e-76	279
new_2707685_2707807::AL009126.3:2707684-2707807(+)	CP006881.1	100.000	123	0	0	1	123	2525539	2525661	8.05e-61	228
new_2740896_2741093::AL009126.3:2740895-2741093(+)	CP006881.1	100.000	198	0	0	1	198	2558750	2558947	2.83e-102	366
new_2997283_2999078::AL009126.3:2997282-2999078(+)	CP006881.1	100.000	1796	0	0	1	1796	2815137	2816932	0.0	3317
new_3055193_3055921::AL009126.3:3055192-3055921(+)	CP006881.1	100.000	729	0	0	1	729	2873047	2873775	0.0	1347
new_3106996_3107052::AL009126.3:3106995-3107052(+)	CP006881.1	100.000	57	0	0	1	57	2924851	2924907	1.45e-24	106
new_3154077_3154734_c::AL009126.3:3154076-3154734(-)	CP006881.1	100.000	658	0	0	1	658	2972589	2971932	0.0	1216
new_3159185_3159752::AL009126.3:3159184-3159752(+)	CP006881.1	100.000	568	0	0	1	568	2977040	2977607	0.0	1050
new_3213329_3216149::AL009126.3:3213328-3216149(+)	CP006881.1	100.000	2821	0	0	1	2821	3031183	3034003	0.0	5210
new_3231069_3231811_c::AL009126.3:3231068-3231811(-)	CP006881.1	100.000	743	0	0	1	743	3049665	3048923	0.0	1373
new_3386852_3387780_c::AL009126.3:3386851-3387780(-)	CP006881.1	100.000	929	0	0	1	929	3205634	3204706	0.0	1716
new_3391778_3394421_c::AL009126.3:3391777-3394421(-)	CP006881.1	100.000	2644	0	0	1	2644	3212275	3209632	0.0	4883
new_3545605_3545858::AL009126.3:3545604-3545858(+)	CP006881.1	100.000	254	0	0	1	254	3363459	3363712	2.74e-133	470
new_3666508_3667599::AL009126.3:3666507-3667599(+)	CP006881.1	100.000	1092	0	0	1	1092	3484362	3485453	0.0	2017
new_3666577_3666932_c::AL009126.3:3666576-3666932(-)	CP006881.1	100.000	356	0	0	1	356	3484786	3484431	0.0	658
new_3745414_3746298::AL009126.3:3745413-3746298(+)	CP006881.1	100.000	885	0	0	1	885	3563268	3564152	0.0	1635
